"","artist_name","avg_duration"
"95","Townsend_ Devin",63.18975
"96","Porno para Ricardo",63.97342
"97","The Dandy Warhols",64.02567
"98","Duo Live",64.07791
"99","Time of Orchids",64.28689
"100","Metabass 'N' Breath",64.80934
"101","Factums",65.30567
"102","Chip Taylor",65.43628
"103","Theodore Shapiro",66.08934
"104","Count Bass D",67.26485
"105","Dann Huff",67.57832
"106","Can",67.60444
"107","Cause For Alarm",68.04853
"108","Ace Troubleshooter",68.49261
"109","Future Of Forestry",68.67546
"110","Tone Depth",70.03383
"111","Andy Summers",70.3473
"112","Debbie Reynolds & Female Cast",70.45179
"113","Eyehategod",70.50404
"114","Tyler Bates",70.53016
"115","Ten Years After",70.84363
"116","Duesenjaeger",71.00036
"117","Loic Lantoine",71.60118
"118","Mr Oizo",71.60118
"119","Capitol Punishment",71.70567
"120","A Sunny Day In Glasgow",71.88853
"121","Cul De Sac",71.94077
"122","Leng Tch'e",72.07138
"123","+44",72.33261
"124","Extreme Noise Terror",72.77669
"125","Flop",72.82893
"126","Jimmy Shubert",72.9073
"127","Pastor Lopez",73.06404
"128","Diamanda Galas",73.19465
"129","Cloak/Dagger",73.87383
"130","Latte E Miele",73.92608
"131","Lullatone",74.08281
"132","Mika Miko",74.68363
"133","Madball",75.310565
"134","Orquestra",75.72853
"135","Channels 3x4",75.78077
"136","Herman Brood",75.91138
"137","Paint it Black",75.9897525
"138","Allan Sherman",76.01587
"139","Boyracer",76.133425
"140","Sound Team",76.14649
"141","The Wilde Flowers",76.17261
"142","Biosphere",76.48608
"143","Sebadoh",76.5122
"144","Otomo Yoshihide",76.642815
"145","Kid Dynamite",76.79955
"146","Nero's Day At Disneyland",76.85179
"147","Thuja",77.00853
"148","New Flesh For Old",77.322
"149","Merauder",77.45261
"150","Chatham County Line",77.63546
"151","David Peel and The Lower East Side",77.73995
"152","Jono El Grande",78.28853
"153","SkinnyMan",78.602
"154","Brad Paisley",79.41179
"155","Cab Calloway",79.82975
"156","New Fast Automatic Daffodils",80.32608
"157","Differnet",80.45669
"158","FDEL",80.77016
"159","Stendeck",81.34485
"160","Paul Haslinger",81.42322
"161","Monty Python",81.60608
"162","J-Live",81.906485
"163","Meryn Cadell",82.1024
"164","The Fine Arts Showcase",82.18077
"165","Austrian Death Machine",82.20689
"166","Sixtoo",82.36363
"167","David Essex",82.70322
"168","Stephin Merritt",83.04281
"169","Harrie Jekkers",83.12118
"170","Tunnel Rats",83.93098
"171","Bumblefoot",83.9571
"172","Chali 2na",84.03546
"173","Harry Pussy",84.2009066666667
"174","Fröbelin Palikat",84.47955
"175","Crimson Spectre",84.74077
"176","She Keeps Bees",84.92363
"177","Pepper",85.18485
"178","Vitamin X",85.289345
"179","Steve Jablonsky",85.4547833333333
"180","Homelife",85.68118
"181","Stars Like Fleas",86.07302
"182","Gillian Hills",86.09914
"183","Krzysztof Komeda",86.09914
"184","Dr. Dre",86.85669
"185","Nuyorican Soul",87.45751
"186","Pink Cream 69",87.58812
"187","J.B.O.",87.58812
"188","Nasum",87.6273025
"189","Would Be Goods",88.63302
"190","Rachel Portman",88.92036
"191","Onra",89.0771
"192","Heaven Shall Burn",89.12934
"193","Pixies",89.36444
"194","Rapider Than Horsepower",89.46893
"195","Most Precious Blood",89.76934
"196","Loikaemie",89.91302
"197","Digital Underground",89.93914
"198","Anne Dudley",89.93914
"199","Toru Takemitsu",90.27873
"200","Ezra Furman And The Harpoons",90.46159
"201","The Oppressed",90.69669
"202","Neon Hunk",90.69669
"203","Pyranja",91.01016
"204","Jan A.P. Kaczmarek / Nick Ingman",91.34975
"205","Jeromes Dream",91.402
"206","Webb Pierce",91.45424
"207","Aquasky",91.6371
"208","Thin White Rope",91.74159
"209","Body Count",91.950565
"210","AZ",92.05506
"211","Grave Digger",92.39465
"212","R. Kelly featuring Suzanne LeMignot",93.02159
"213","Adam Green",93.07383
"214","Andrew W.K.",93.20444
"215","Geggy Tah",93.23057
"216","Eddie Vedder",94.04036
"217","Queen",94.105665
"218","Gaunt",94.24934
"219","The Varukers",94.32771
"220","Heavy Heavy Low Low",94.497505
"221","Left Alone",94.51057
"222","Modern Life Is War",94.64118
"223","Hellbastard",94.87628
"224","Payola",95.11138
"225","Lord Jamar",95.18975
"226","Soprano",95.34649
"227","DJ Krush",95.76444
"228","Belgian Asociality",95.84281
"229","Union 13",95.89506
"230","Razors Edge",96.13016
"231","Skallander",96.13016
"232","Bloody Sunday",96.13016
"233","Sloppy Seconds",96.15628
"234","Transcending Bizarre?",96.44363
"235","Robert Pollard",96.54812
"236","Bullets To Broadway",96.92689
"237","Albert Ammons",97.14893
"238","Zeke",97.27955
"239","Moby",97.43628
"240","New Mexican Disaster Squad",97.4624
"241","Die' Hunns",97.61914
"242","Bobby Birdman",97.802
"243","These New Puritans",98.42893
"244","My Darling YOU!",98.42893
"245","Brand Nubian",98.729345
"246","Stephen Warbeck",98.82077
"247","Gatto Ciliegia Contro Il Grande Freddo",99.408525
"248","Municipal Waste",99.87873
"249","Assassin",99.89179
"250","The Mae Shi",99.94404
"251","Frantic Flintstones",99.97016
"252","David Banner",100.335875
"253","Gym Class Heroes",100.362
"254","Duane Eddy",100.41424
"255","Meitz",100.46649
"256","Slayer",100.49261
"257","Gartnerlosjen",100.49261
"258","The Backyardigans",100.63628
"259","Cro-Mags",100.70159
"260","Pink Razors",100.80608
"261","2 Minutos",101.01506
"262","Baba Zula",101.72036
"263","Hallows Eve",101.72036
"264","Big Boss Man",101.77261
"265","Dolly Parton & Lynn Anderson",101.92934
"266","Tod Dockstader",101.92934
"267","Johnny Hickman",102.5824
"268","Yummy Bingham / Busta Rhymes",102.63465
"269","Gus Viseur",103.05261
"270","Guerilla Black featuring Alex Thomas",103.23546
"271","Martin O'Donnell And Michael Salvatori",103.48363
"272","Burning Sky",103.49669
"273","Teen Idols",103.54893
"274","Usurp Synapse",103.705665
"275","The Roches",103.81016
"276","Skids",103.94077
"277","Duran Duran Duran",104.25424
"278","Chimaira",104.48934
"279","Screeching Weasel",104.61995
"280","Lisa Nilsson",104.6722
"281","Shel Silverstein",104.76363
"282","Poison Idea",104.881176666667
"283","Last Exit",104.98567
"284","PRE",105.24689
"285","Wild Billy Childish & The Musicians of the British Empire",105.32526
"286","Walls Of Jericho",105.58649
"287","House Of Lords",105.63873
"288","Alaska Y Los Pegamoides",105.9522
"289","Psi vojaci",105.97832
"290","Green Day",105.991385
"291","The (International) Noise Conspiracy",106.03057
"292","Judee Sill",106.1873
"293","Gene Chandler",106.55302
"294","Dario Marianelli",106.748935
"295","The Monkees",107.179955
"296","Yann Tiersen",107.33669
"297","Laurel & Hardy",107.65016
"298","Madlib",107.78077
"299","Speedbuggy USA",107.83302
"300","Exploited",107.898325
"301","Sean Lennon",108.38159
"302","None More Black",108.5122
"303","The Choirboys",108.53832
"304","Banner Pilot",108.66893
"305","Dead Boys",108.69506
"306","Tim Fite",108.79955
"307","Jaime Roos",108.95628
"308","1900s_ The",109.03465
"309","Chavez",109.217505
"310","Lightspeed Champion",109.24363
"311","Klasse Kriminale",109.29587
"312","The Rutles",109.322
"313","The Dirty Projectors",109.40036
"314","Kathy Mattea",109.439545
"315","Deviates",109.76608
"316","Clinic",109.84444
"317","Thee Fine Lines",110.00118
"318","Commit Suicide",110.34077
"319","Stone Cold Steve Austin",110.34077
"320","Blood On The Wall",110.34077
"321","CCCP - Fedeli Alla Linea",110.57587
"322","María Elena Walsh",110.86322
"323","Chantels",111.38567
"324","Guided By Voices",111.39873
"325","Dave Attell",111.43791
"326","Quasimoto",111.56853
"327","Tomas Andersson Wij",111.56853
"328","Adiemus",111.82975
"329","Free Loan Investments",111.90812
"330","Urban Priol",112.06485
"331","Piana",112.06485
"332","Eddie Flashin Fowlkes",112.1171
"333","Pseudo Existors",112.195465
"334","John Frusciante",112.22159
"335","Fireside",112.53506
"336","Nobuo Uematsu",112.7571
"337","The Queers",112.84853
"338","BT_ Tommy Stinson",112.92689
"339","J Dilla",113.05751
"340","The Woggles",113.52771
"341","Springbok Nude Girls",113.73669
"342","Wild Billy Childish And The Musicians Of The British Empire",114.25914
"343","Heraldo Do Monte",114.46812
"344","Ohlson har semester production",114.520363333333
"345","Love Equals Death",114.70322
"346","Bigwig",114.99057
"347","The Jewels",115.35628
"348","Trust Obey",115.3824
"349","Teenage Bottlerocket",115.5522
"350","Dick Gaughan",115.98322
"351","Circus Devils",115.98322
"352","Sweet Trip",115.98322
"353","A Wilhelm Scream",116.126895
"354","Six Finger Satellite",116.153015
"355","NRA",116.871385
"356","Boards of Canada",116.910565
"357","Astream",117.02812
"358","UK Subs",117.13261
"359","Dritte Wahl",117.26322
"360","Johnny Dowd",117.641995
"361","Whitney Cummings",117.83791
"362","Lolita Storm",117.83791
"363","Carnival in Coal",117.89016
"364","Gang Gang Dance",118.09914
"365","Line Renaud",118.09914
"366","Impaled Nazarene",118.37778
"367","Redd Kross",118.38649
"368","Bob Wills & Tommy Duncan",118.38649
"369","Restless",118.38649
"370","Tim Wilson",118.56934
"371","Unwritten Law",118.64771
"372","Girls At Our Best!",118.69995
"373","Relient K",118.9219975
"374","John Surman",118.93506
"375","7 Year Bitch",119.06567
"376","Buddy Holly",119.14404
"377","Jim Reeves",119.17016
"378","83",119.248525
"379","Freddy Fender",119.24853
"380","Brian Tyler",119.26594
"381","Tony Trischka",119.27465
"382","Georges Delerue",119.53587
"383","The Worthless United",119.562
"384","Fastbacks",119.58812
"385","Stetsasonic",119.6273
"386","Small Faces",120.00608
"387","Attitude Adjustment",120.00608
"388","C-Murder/Silkk The Shocker",120.13669
"389","Dave 'Baby' Cortez",120.16281
"390","Nacho Cano",120.215055
"391","Dexter Romweber",120.21506
"392","Holy Molar",120.34567
"393","Sage Francis",120.39791
"394","Fat Worm of Error",120.58077
"395","Galore",120.60689
"396","Fatal Flying Guilloteens",120.63302
"397","Billie Holiday",120.6722
"398","Erik Satie",120.89424
"399","The Beatnuts",120.89424
"400","Truls And The Trees",120.92036
"401","The Meteors",120.99873
"402","Bruce Rowland",120.99873
"403","The Pale Pacific",121.02485
"404","Jan De Wilde",121.05098
"405","Del Shannon",121.20771
"406","Kylesa",121.28608
"407","Sven Libaek",121.36444
"408","Carpenters",121.86077
"409","Boy Kill Boy",121.91302
"410","Thee Mighty Caesers",121.99138
"411","A Perfect Circle",122.01751
"412","Hugh Dillon",122.01751
"413","Babs Gonzales",122.14812
"414","Alfredo Zitarrosa",122.20036
"415","T.Rex",122.330973333333
"416","Nas",122.409343333333
"417","Les Sexareenos",122.592196666667
"418","Toxic Holocaust",122.5922
"419","East West Blast Test",122.87955
"420","Shooting At Unarmed Men",122.90567
"421","Barrett Strong",122.90567
"422","7 Year Rabbit Cycle",122.93179
"423","Rookie Of The Year",123.20608
"424","Rob Swift",123.21914
"425","Lendakaris Muertos",123.2322
"426","Elia Cmiral",123.25832
"427","J.A.R.",123.27138
"428","Nitty Gritty Dirt Band",123.37587
"429","The Fontane Sisters",123.42812
"430","Bill Withers",123.61098
"431","Betty Everett",123.637095
"432","Overwhelming Colorfast",123.66322
"433","Sarandon",123.76771
"434","Pino Donaggio",123.89832
"435","Boots Randolph",123.92444
"436","Fort Knox Five",124.00281
"437","The Tremeloes",124.15955
"438","Paul Cantelon",124.23791
"439","Tall Dwarfs",124.47302
"440","Erin McKeown",124.65587
"441","Los Tiki Phantoms",124.682
"442","Racebannon",124.81261
"443","John Ottman",124.83873
"444","SUE THOMPSON",124.86485
"445","Dickie Valentine",124.86485
"446","Zolof The Rock & Roll Destroyer",124.99546
"447","A.Z.",125.41342
"448","Crematorium",125.46567
"449","Operation Ivy",125.57016
"450","Brujeria",125.64853
"451","Les Dudek",125.67465
"452","Allen Toussaint",125.80526
"453","Der Plan",125.883625
"454","Path Of Resistance",125.90975
"455","Heavyweight Dub Champion",126.01424
"456","Regulations",126.17098
"457","Joe Pesci",126.17098
"458","Future Of The Left",126.1971
"459","Zbigniew Preisner",126.32771
"460","Anita Bryant",126.32771
"461","Dwight Yoakam",126.40608
"462","Causey Way",126.4322
"463","Chad & Jeremy",126.53669
"464","Floor",126.53669
"465","Wayne Fontana / The Mindbenders",126.53669
"466","themselves",126.56281
"467","All About Chad",126.56281
"468","Martin Denny",126.64118
"469","Scienz of Life",126.69342
"470","Delirious",126.79791
"471","Iron Butterfly",126.79791
"472","The Replacements",127.00689
"473","System of a Down",127.05914
"474","Hi-Standard",127.13751
"475","Beans On Toast",127.26812
"476","Basil Poledouris",127.26812
"477","Benito Di Paula",127.39873
"478","Alternative TV",127.39873
"479","Jona Lewie",127.45098
"480","Klaus Badelt",127.694786666667
"481","La Casa Azul",127.725265
"482","Rachel Sweet",127.76444
"483","BigElf",127.76444
"484","Brutal Truth",127.790565
"485","The Loafers",128.02567
"486","Daycare Swindlers",128.15628
"487","Ghislain Poirier",128.24771
"488","Ektomorf",128.31302
"489","Thee Headcoats",128.44363
"490","Yo Yo Mundi",128.487166666667
"491","Prince",128.521995
"492","Necronomitron",128.522
"493","Ciccone Youth",128.90077
"494","The Electric Hellfire Club",128.96608
"495","Lets Get Out Of This Terrible Sandwich Shop",129.04444
"496","Esham",129.04444
"497","Pissed Jeans",129.20118
"498","NOFX",129.21424
"499","The Cadets",129.35791
"500","Only Crime",129.56689
"501","Five Fingers of Funk",129.566895
"502","Tegan And Sara",129.67138
"503","Ralph Towner",129.72363
"504","Manu Chao",129.82812
"505","Nach",129.98485
"506","Boyd Bennett & His Rockets",130.01098
"507","Filthy Christians",130.0371
"508","The Divine Comedy",130.45506
"509","Lucky Dragons",130.48118
"510","John Barry",130.71628
"511","Mad Flava",130.716285
"512","Gaudi",130.7424
"513","Quad City DJ's",130.79465
"514","The Kingsmen",130.82077
"515","Tiger Army",130.87302
"516","The Remains",131.068935
"517","Skeets McDonald",131.082
"518","Adolescents",131.16036
"519","Panacea",131.21261
"520","Dean Martin",131.299683333333
"521","Bernward Koch",131.3171
"522","Mr Hudson & The Library",131.34322
"523","Ammoncontact featuring Sach",131.34322
"524","Nine Pound Hammer",131.44771
"525","Major Lance",131.44771
"526","Tommy James And The Shondells",131.52608
"527","Dale Hawkins",131.5522
"528","bathory",131.76118
"529","65daysofstatic",131.81342
"530","Beastie Boys",131.89179
"531","Alexandre Desplat & Aaron Zigman",131.904855
"532","Nick Cave & Warren Ellis",131.904855
"533","Billy Vaughn",131.99628
"534","The Jordanaires & Orion",132.07465
"535","Avail",132.07465
"536","Molice",132.07465
"537","Herb Alpert And The Tijuana Brass",132.20526
"538","Crumbsuckers",132.28363
"539","Make It Count",132.46649
"540","Snooks Eaglin",132.649345
"541","Ike And Tina Turner",132.8322
"542","Los Bravos",132.93669
"543","David Houston",132.93669
"544","The Konki Duet",133.04118
"545","Hombres G",133.14567
"546","Jan & Dean",133.17179
"547","Dead Kennedys",133.524445
"548","Marie Lindberg",133.53751
"549","Rex Allen",133.563625
"550","Femi Kuti",133.61587
"551","Honeyrider",133.7073
"552","Comeback Kid",133.772605
"553","Barbara McNair",133.92934
"554","José Alfredo Jimenez",134.00771
"555","Los Straitjackets",134.016416666667
"556","The Runaways",134.033835
"557","Savath & Savalas",134.16444
"558","Rising Sons",134.29506
"559","Billy ""The Kid"" Emerson",134.32118
"560","Dustin O'Halloran",134.451795
"561","Janis Martin",134.53016
"562","Dion & The Belmonts",134.5824
"563","Clatterbox",134.86975
"564","Mundo Complexo",134.922
"565","Zombina And The Skeletones",134.94812
"566","Adam Faith",134.97424
"567","Robert Rodriguez_ Graeme Revell",134.97424
"568","Arlo Guthrie",134.9873
"569","Barão Vermelho",135.00036
"570","Cold Cave",135.157095
"571","Chromeo",135.196285
"572","Elizabeth Cotten",135.20934
"573","J. Peter Robinson",135.222405
"574","Barracudas",135.26159
"575","Spiritualized",135.3922
"576","So Many Dynamos",135.41832
"577","Sunshine Blind",135.44444
"578","Michel Colombier",135.52281
"579","Maher Shalal Hash Baz",135.561995
"580","Christophe Beck",135.592473333333
"581","Pennywise",135.757913333333
"582","Braid",135.82322
"583","The Big Screen",135.8624
"584","Jack Kerouac Featuring Al Cohn & Zoot Sims",136.07138
"585","Sid Vicious_ the Idols",136.14975
"586","Slo Burn",136.202
"587","The Takeovers",136.25424
"588","Thee Hydrogen Terrors",136.25424
"589","Martin Simpson",136.33261
"590","Ismo Alanko",136.37179
"591","Two Witches",136.38485
"592","George Morgan",136.38485
"593","The Germs",136.51546
"594","Midtown",136.56771
"595","RONNIE RONALDE",136.606895
"596","Consolidated",136.633015
"597","Schneider Tm",136.659135
"598","The Misfits",136.6722
"599","Chris Stills",136.82893
"600","The Business",136.88118
"601","Valient Thorr",137.01179
"602","The Monitors",137.03791
"603","Damien Leith",137.03791
"604","The International Submarine Band",137.11628
"605","And You Will Know Us By The Trail Of Dead",137.1424
"606","Novos Baianos",137.27302
"607","Spizzenergi",137.35138
"608","Agression",137.429755
"609","Toots & The Maytals",137.468935
"610","Gene Clark",137.58649
"611","Duke Ellington_ His Famous Orchestra",137.63873
"612","June Christy",137.63873
"613","Césaria Evora",137.65179
"614","Bill Black's Combo",137.82159
"615","Ninety Pound Wuss",137.97832
"616","Ennio Morricone",138.02186
"617","I'm From Barcelona",138.05669
"618","Vulgaires Machins",138.08281
"619","Bill Fay",138.13506
"620","Larry Norman",138.148115
"621","The Verve Pipe",138.17424
"622","Phil Harris",138.17424
"623","Jean Jacques Perrey",138.29179
"624","Deviated Instinct",138.31791
"625","Pill Wonder",138.34404
"626","Wayne Fontana",138.37016
"627","1910 Fruitgum Company",138.38322
"628","The Vogues",138.50077
"629","Archie Bell and The Drells",138.579135
"630","Bonde Do Rolé",138.63138
"631","Ben Watt",138.65751
"632","The Young Lovers",138.86649
"633","Loudon Wainwright III",138.86649
"634","Righteous Brothers",138.89261
"635","Dale & Grace",138.91873
"636","Richard Wagner / Otto Sieben",139.36281
"637","Agnostic Front",139.41506
"638","Dead Hearts",139.41506
"639","Deportivo",139.49342
"640","G Unit feat. 50 Cent",139.493425
"641","Obrint Pas",139.66322
"642","Doctor Explosion",139.7024
"643","Nina Nastasia",139.78077
"644","Grandpa Jones",139.78077
"645","Tony Bennett / Bill Evans",139.85914
"646","Die Arbeitslosen Bauarbeiter",139.88526
"647","Faron Young",140.035465
"648","Slim Dusty",140.042
"649","India.Arie",140.094243333333
"650","Long Tall Texans",140.12036
"651","Decima Victima",140.159545
"652","Gene Latter",140.19873
"653","Steve Jablonski",140.2771
"654","Lifesavas",140.294513333333
"655","Thavius Beck",140.32934
"656","Kenny Brown",140.43383
"657","The Turtles",140.48608
"658","The Phantom Limbs",140.56444
"659","Onyx",140.70812
"660","Report Suspicious Activity",140.7473
"661","Cuentos Borgeanos",140.79955
"662","Franz Waxman_ Joel McNeely_ Royal Scottish National Orchestra",140.85179
"663","Descendents",140.87791
"664","13 Cats",140.90404
"665","Link 80",141.34812
"666","Hugo Montenegro & His Orchestra",141.34812
"667","M.A. Numminen",141.37424
"668","Sick Of It All",141.400363333333
"669","Butt Trumpet",141.504853333333
"670","James Chance & the Contortions",141.5571
"671","Suicide",141.57016
"672","Little Junior Parker",141.58322
"673","Chaotic Dischord",141.60934
"674","Big Maybelle",141.63546
"675","Tom Lehrer",141.644173333333
"676","The Doc Watson Family",141.66159
"677","Big Bopper",141.68771
"678","The Coasters",141.68771
"679","Tindersticks",141.713835
"680","La Rue Kétanou",141.94893
"681","Lunachicks",141.97506
"682","David Torn",142.0273
"683","Dragons Of Zynth",142.079545
"684","Bruce Channel",142.07955
"685","Born Against",142.28853
"686","The Applejacks",142.28853
"687","Pál Utcai Fiúk",142.28853
"688","Carl Smith",142.31465
"689","Musiq",142.379955
"690","The Sundays",142.44526
"691","Chixdiggit!",142.47138
"692","The Sugarcubes",142.65424
"693","Marmaduke Duke",142.86322
"694","Spiderbait",142.88934
"695","Afroman",142.96771
"696","The Seekers",143.033015
"697","Pedro Infante",143.09832
"698","Young Fresh Fellows",143.09832
"699","Jake Hess",143.09832
"700","Jeff Beck & The Big Town Playboys",143.25506
"701","Die Toten Hosen",143.3073
"702","The Bar-Kays",143.3073
"703","The Four Lads",143.41179
"704","Punkreas",143.424855
"705","Smoke Or Fire",143.46404
"706","Hugh Mundell",143.49016
"707","Marvin Gaye",143.52934
"708","Pascow",143.56853
"709","Los Piratas",143.707846666667
"710","Magic Bullets",143.72526
"711","Charming",143.77751
"712","The Muckruckers",143.77751
"713","The Mint Chicks",143.82975
"714","Slowride",143.85587
"715","The Copyrights",143.93424
"716","The Eighties Matchbox B-Line Disaster",144.01261
"717","Sole",144.1171
"718","Aura",144.19546
"719","Dust of Basement",144.24771
"720","Kankick",144.5873
"721","Mr. Irish Bastard",144.61342
"722","Darlene Love",144.61342
"723","Thurston Harris",144.66567
"724","Charlie Drake",144.71791
"725","Kill Your Idols",144.74404
"726","Dominoes",144.74404
"727","Terrorizer",144.79628
"728","Marvin Gaye / Kim Weston",144.87465
"729","Margo Guryan",144.90077
"730","Jon Lucien",145.03138
"731","Zomby",145.057505
"732","Coughs",145.13587
"733","Kråkesølv",145.24036
"734","The Sonics",145.34485
"735","The New Seekers",145.47546
"736","Charlie Rich",145.50159
"737","Galt MacDermot;Tom Pierson",145.50159
"738","Daniël Lohues",145.50159
"739","The Mighty Mighty Bosstones",145.55383
"740","Hugues Aufray",145.65832
"741","Sloan",145.94567
"742","Satanic Surfers",145.94567
"743","The Embarrassment",145.97179
"744","Cal Tjader / Eddie Palmieri",145.97179
"745","Tstewart",145.99791
"746","Escuela de Odio",146.024035
"747","Kinski",146.05016
"748","Against All Authority",146.08934
"749","Heatmiser",146.12853
"750","Mel Torme",146.18077
"751","The Fourmost",146.233015
"752","Buck Owens",146.33751
"753","Bobby Hackett_ Jack Teagarden",146.38975
"754","Support Lesbiens",146.38975
"755","David Sandström Överdrive",146.38975
"756","Mr. John",146.41587
"757","Air Miami",146.43155
"758","The Quakes",146.49424
"759","The High Strung",146.52036
"760","John Tesh",146.57261
"761","Gershon Kingsley",146.57261
"762","Corrosion Of Conformity",146.70322
"763","Hall Of Fame",146.78159
"764","Raw Power",146.80771
"765","The Acacia Strain",146.84689
"766","Jeanne Pruett",146.9122
"767","Bart/Homer/Sideshow Bob",146.93832
"768","Mickey Katz",146.964445
"769","Pepe Kalle",146.99057
"770","Jay-Jay Johanson",147.01669
"771","Soul Embraced",147.17342
"772","Bracket",147.19955
"773","Neri Per Caso",147.35628
"774","CDOASS",147.35628
"775","Lorez Alexandria",147.3824
"776","Al Duvall",147.382405
"777","Mercedes Sosa",147.46077
"778","Flux of Pink Indians",147.53914
"779","Paquita La Del Barrio",147.59138
"780","Betty Wright",147.66975
"781","Eddie Murphy",147.66975
"782","Macabre",147.82649
"783","Booker T & The MG's",147.90485
"784","The Pigeon Detectives",147.93098
"785","Alma Cogan",147.93098
"786","The Buff Medways",147.9571
"787","Grandmaster Flash",148.00934
"788","Fever",148.06159
"789","Seymour Bits feat. Vodzuka Sempai",148.06159
"790","Clint Mansell",148.11383
"791","Aaron Neville",148.153015
"792","Lord Invader",148.16608
"793","Chuck Prophet",148.21832
"794","Rhonda Vincent",148.348935
"795","Flat Duo Jets",148.37506
"796","Javier Krahe",148.37506
"797","Alien Sex Fiend",148.37506
"798","Stan Getz",148.45342
"799","The Animals",148.55791
"800","Mad Caddies",148.61016
"801","Alton Ellis And The Flames",148.61016
"802","24-7 Spyz",148.6624
"803","Boston Spaceships",148.662405
"804","Oscar Brand",148.68853
"805","Tim Fischer",148.71465
"806","Blondie",148.72118
"807","Jim Noir",148.74077
"808","The Dixie Cups",148.766895
"809","The Marcels",148.87138
"810","Count Basie",148.897505
"811","The Kingston Trio",148.89751
"812","The Undecided",148.910565
"813","Vanessa Williams",148.941043333333
"814","The Watts 103rd. Street Rhythm Band",149.002
"815","Tap Tap",149.002
"816","Entombed",149.002
"817","The Adicts",149.02812
"818","Burl Ives",149.02812
"819","I Dream / Matt Di Angelo",149.02812
"820","Syd Barrett",149.041175
"821","Maria Arredondo",149.10649
"822","Autopilot Off",149.18485
"823","Haley Bonar",149.26322
"824","Domased",149.28934
"825","One Man Army",149.41995
"826","Kelly Willis",149.57669
"827","Lord Tanamo",149.60281
"828","Johnny Horton",149.73342
"829","Abstürzende Brieftauben",149.794376666667
"830","Justin Hayward / John Lodge",149.81179
"831","James Darren",149.83791
"832","A La Carte Brass & Percussion",149.837915
"833","The Kinks",149.864035
"834","Don Gibson",149.86404
"835","Balzac",149.89016
"836","Chris T-T",149.91628
"837","Francisco Mário",149.96853
"838","The Lillingtons",150.09914
"839","The Everly Brothers",150.116556666667
"840","THE CHIFFONS",150.12526
"841","Baby Mammoth",150.15138
